matchid;journee;stade;spectateurs;date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation;date_str;home_win;total_tirs;diff_possession
70829;Journée 7;STADIUM;21316.0;;TOULOUSE FC;STADE DE REIMS;1;0;46.9;53.1;53,6;46,4;53,8;46,2;22.0;6.0;1.0;0.0;4.0;6.0;393.0;438.0;8.0;21.0;14;11;3;1;1.0;2.0;0.0;1.0;3-2-2-2-1;1-2-2-3-2;11 SEPTEMBRE 2022- 15:00;1;25;-6.200000000000003
70830;Journée 8;STADE DE L'ABBÉ-DESCHAMPS;14866.0;;AJ AUXERRE;FC LORIENT;1;3;56.6;43.4;52,4;47,6;50;50;11.0;13.0;0.0;1.0;9.0;5.0;509.0;406.0;37.0;10.0;17;12;5;8;3.0;1.0;0.0;0.0;2-2-1-4-1;3-2-2-2-1;16 SEPTEMBRE 2022- 21:00;0;29;13.200000000000003
70831;Journée 8;STADE FRANCIS-LE BLÉ;10410.0;;STADE BRESTOIS 29;AC AJACCIO;0;1;59.1;40.9;48,7;51,3;58;42;10.0;20.0;2.0;0.0;6.0;2.0;501.0;356.0;28.0;10.0;8;6;4;4;2.0;2.0;0.0;0.0;3-2-3-2;2-2-2-2-2;18 SEPTEMBRE 2022- 15:00;0;14;18.200000000000003
70832;Journée 8;STADE GABRIEL-MONTPIED;10753.0;;CLERMONT FOOT 63;ESTAC TROYES;1;3;59.4;40.6;59,1;40,9;60;40;11.0;14.0;2.0;1.0;5.0;1.0;514.0;351.0;17.0;9.0;14;9;2;4;0.0;3.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;18 SEPTEMBRE 2022- 15:00;0;23;18.799999999999997
70833;Journée 8;DECATHLON ARENA  STADE PIERRE-MAUROY;33635.0;;LOSC LILLE;TOULOUSE FC;2;1;45.2;54.8;46,3;53,7;48,6;51,4;14.0;20.0;1.0;5.0;5.0;7.0;408.0;475.0;9.0;29.0;10;14;4;5;2.0;0.0;0.0;0.0;2-2-2-3-1;2-2-2-3-1;17 SEPTEMBRE 2022- 21:00;1;24;-9.599999999999994
70834;Journée 8;GROUPAMA STADIUM;58230.0;;OLYMPIQUE LYONNAIS;PARIS SAINT-GERMAIN;0;1;34.4;65.6;42,3;57,7;33,3;66,7;18.0;7.0;3.0;3.0;3.0;7.0;410.0;797.0;14.0;10.0;12;15;3;8;0.0;2.0;0.0;0.0;2-2-2-2-2;2-2-2-3-1;18 SEPTEMBRE 2022- 20:45;0;27;-31.199999999999996
70835;Journée 8;ORANGE VÉLODROME;62753.0;;OLYMPIQUE DE MARSEILLE;STADE RENNAIS FC;1;1;58.9;41.1;48,6;51,4;51,7;48,3;10.0;18.0;2.0;1.0;11.0;7.0;509.0;363.0;31.0;13.0;15;11;4;4;3.0;4.0;0.0;0.0;3-2-2-2-1;3-2-2-2-1;18 SEPTEMBRE 2022- 15:00;0;26;17.799999999999997
70836;Journée 8;STADE DE LA MOSSON ET DU MONDIAL 98;10780.0;;MONTPELLIER HÉRAULT SC;RC STRASBOURG ALSACE;2;1;49.9;50.1;51,8;48,2;48,7;51,3;9.0;8.0;3.0;2.0;8.0;6.0;354.0;351.0;22.0;21.0;10;8;4;2;4.0;4.0;0.0;0.0;2-2-2-3-1;5-3-2;17 SEPTEMBRE 2022- 17:00;1;18;-0.20000000000000284
70837;Journée 8;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;28854.0;;FC NANTES;RC LENS;0;0;41.8;58.2;48,9;51,1;60;40;8.0;11.0;1.0;1.0;3.0;7.0;416.0;584.0;20.0;28.0;12;8;4;2;1.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;18 SEPTEMBRE 2022- 17:05;0;20;-16.400000000000006
70838;Journée 8;ALLIANZ RIVIERA;18545.0;;OGC NICE;ANGERS SCO;0;1;50.0;50.0;58,9;41,1;52,4;47,6;9.0;11.0;1.0;1.0;5.0;4.0;420.0;417.0;15.0;15.0;18;16;5;3;0.0;3.0;1.0;0.0;2-2-2-2-2;3-2-2-2-1;18 SEPTEMBRE 2022- 15:00;0;34;0.0
70839;Journée 8;STADE AUGUSTE-DELAUNE;12600.0;;STADE DE REIMS;AS MONACO;0;3;32.3;67.7;53,8;46,2;35,3;64,7;11.0;14.0;3.0;2.0;5.0;4.0;256.0;550.0;15.0;23.0;9;20;2;11;3.0;3.0;0.0;0.0;3-2-2-1-2;2-2-2-2-2;18 SEPTEMBRE 2022- 13:00;0;29;-35.400000000000006
